date,branch,new_customers,active_customers,avg_credit_score,loan_default_rate_percent,customer_churn_rate_percent
2024-01-01,Mumbai,1809,498196,689.0,2.35,0.72
2024-01-01,Delhi,1063,494328,718.0,4.43,0.99
2024-01-01,Bangalore,785,485361,743.0,3.0,1.97
2024-01-01,Chennai,1885,477630,689.0,1.57,1.98
2024-01-01,Pune,1616,476028,741.0,3.75,0.67
2024-01-01,Hyderabad,1364,474710,731.0,3.93,0.56
2024-01-01,Ahmedabad,691,470952,713.0,4.19,0.94
2024-01-01,Kolkata,1534,464461,753.0,4.24,1.7
2024-01-01,Jaipur,1649,461941,707.0,2.96,0.9
2024-01-01,Surat,1830,454982,664.0,2.34,1.9
2024-01-02,Mumbai,1359,452196,713.0,4.03,0.94
2024-01-02,Delhi,1706,449126,709.0,3.13,1.06
2024-01-02,Bangalore,513,440579,729.0,2.55,2.02
2024-01-02,Chennai,826,433050,733.0,2.06,1.9
2024-01-02,Pune,1196,429675,734.0,4.02,1.06
2024-01-02,Hyderabad,940,420242,722.0,3.79,2.41
2024-01-02,Ahmedabad,1189,418471,723.0,2.01,0.7
2024-01-02,Kolkata,1278,416849,752.0,2.36,0.69
2024-01-02,Jaipur,1204,410936,685.0,3.84,1.71
2024-01-02,Surat,588,403473,735.0,2.62,1.96
2024-01-03,Mumbai,1598,402168,725.0,3.59,0.75
2024-01-03,Delhi,1275,400799,713.0,2.26,0.66
2024-01-03,Bangalore,1100,393247,719.0,3.54,2.16
2024-01-03,Chennai,1766,386085,725.0,4.23,2.27
2024-01-03,Pune,1240,380938,703.0,3.49,1.65
2024-01-03,Hyderabad,1942,380447,730.0,4.12,0.64
2024-01-03,Ahmedabad,1854,378666,733.0,1.98,0.96
2024-01-03,Kolkata,1092,370404,735.0,2.07,2.47
2024-01-03,Jaipur,976,363109,765.0,4.33,2.23
2024-01-03,Surat,1278,360555,747.0,2.91,1.06
2024-01-04,Mumbai,1801,354646,701.0,1.66,2.17
2024-01-04,Delhi,833,351082,708.0,1.71,1.24
2024-01-04,Bangalore,929,345551,695.0,4.05,1.84
2024-01-04,Chennai,1937,339290,726.0,3.29,2.37
2024-01-04,Pune,1827,338937,716.0,3.29,0.64
2024-01-04,Hyderabad,1800,337884,741.0,3.08,0.84
2024-01-04,Ahmedabad,1993,336536,753.0,2.25,0.99
2024-01-04,Kolkata,1446,333748,750.0,3.7,1.26
2024-01-04,Jaipur,1810,329298,726.0,4.05,1.88
2024-01-04,Surat,949,324093,765.0,1.5,1.87
2024-01-05,Mumbai,614,321699,730.0,1.92,0.96
2024-01-05,Delhi,565,315477,704.0,3.37,2.11
2024-01-05,Bangalore,1321,313533,703.0,2.42,1.04
2024-01-05,Chennai,932,307174,728.0,4.46,2.33
2024-01-05,Pune,1661,301917,735.0,2.22,2.25
2024-01-05,Hyderabad,1144,300269,704.0,2.7,0.93
2024-01-05,Ahmedabad,1522,297917,717.0,3.38,1.29
2024-01-05,Kolkata,1816,295512,681.0,1.58,1.42
2024-01-05,Jaipur,1042,294252,685.0,1.58,0.78
2024-01-05,Surat,1649,291261,700.0,2.57,1.58
2024-01-06,Mumbai,1697,289094,717.0,3.26,1.36
2024-01-06,Delhi,1695,287037,726.0,2.39,1.3
2024-01-06,Bangalore,949,280828,714.0,2.91,2.49
2024-01-06,Chennai,783,277347,708.0,2.39,1.52
2024-01-06,Pune,686,272456,730.0,1.71,2.01
2024-01-06,Hyderabad,724,270986,723.0,3.65,0.81
2024-01-06,Ahmedabad,827,266167,719.0,1.64,2.08
2024-01-06,Kolkata,1364,263028,698.0,3.67,1.69
2024-01-06,Jaipur,1288,260996,720.0,3.53,1.26
2024-01-06,Surat,1458,258391,710.0,2.21,1.56
2024-01-07,Mumbai,1633,254363,688.0,2.14,2.22
2024-01-07,Delhi,523,250154,730.0,3.96,1.86
2024-01-07,Bangalore,734,246228,741.0,2.15,1.86
2024-01-07,Chennai,1599,242901,709.0,2.57,2.0
2024-01-07,Pune,1812,241850,720.0,2.64,1.18
2024-01-07,Hyderabad,1101,239641,701.0,1.52,1.37
2024-01-07,Ahmedabad,1429,239859,704.0,4.01,0.51
2024-01-07,Kolkata,1978,236440,719.0,2.98,2.25
2024-01-07,Jaipur,1039,231704,739.0,1.65,2.44
2024-01-07,Surat,865,229060,731.0,2.51,1.52
2024-01-08,Mumbai,717,224712,719.0,2.85,2.24
2024-01-08,Delhi,1111,220920,709.0,1.68,2.18
2024-01-08,Bangalore,1539,218668,702.0,2.39,1.72
2024-01-08,Chennai,813,216755,704.0,3.42,1.25
