date,branch,upi_volume,upi_value,card_txn_volume,card_txn_value,wallet_txn_volume,wallet_txn_value,fraud_rate_percent
2024-01-01,Mumbai,178433,87549898.05,138865,62368127.24,54897,22670103.73,1.92
2024-01-01,Delhi,221337,79275788.77,114894,63300037.9,67685,16022733.54,2.14
2024-01-01,Bangalore,224309,73881653.64,122714,62084114.76,62166,17679253.1,1.85
2024-01-01,Chennai,192916,84385430.89,147823,54205224.53,74393,20401287.17,0.6
2024-01-01,Pune,179694,80852235.25,136657,54921390.94,56160,18279682.44,2.26
2024-01-01,Hyderabad,186096,81281724.89,103282,60976520.16,57842,16724108.19,0.77
2024-01-01,Ahmedabad,211496,82451287.22,119876,60228215.35,59347,17405576.92,0.65
2024-01-01,Kolkata,224839,89209112.64,128896,57643873.4,60260,19803165.39,0.7
2024-01-01,Jaipur,216952,75248806.39,121381,52758308.47,72260,17281867.01,2.45
2024-01-01,Surat,177671,78227975.08,142205,58557408.57,54453,21444818.34,0.94
2024-01-02,Mumbai,191444,79028052.1,91678,59321724.0,74330,18222626.51,1.02
2024-01-02,Delhi,224294,77009427.05,99454,64602990.4,69394,21463074.25,1.98
2024-01-02,Bangalore,210361,82457962.06,113015,60929143.65,69946,20672943.07,1.47
2024-01-02,Chennai,207756,73518482.96,145713,64673886.8,73358,22286439.67,2.08
2024-01-02,Pune,192980,77561153.84,117748,60202416.4,71505,22349638.9,1.1
2024-01-02,Hyderabad,216626,91914568.02,116187,53310833.24,58837,21704269.33,2.07
2024-01-02,Ahmedabad,175973,76739938.0,109553,62154827.59,56671,16917842.53,1.33
2024-01-02,Kolkata,164674,84735632.43,135301,58851886.78,61686,22159712.92,2.12
2024-01-02,Jaipur,229015,81508202.7,105430,60560840.35,64791,21424740.86,2.55
2024-01-02,Surat,187991,75940548.3,121218,52481668.81,57585,18049751.22,0.96
2024-01-03,Mumbai,218407,74974118.57,112615,60382983.55,62074,19031821.09,2.34
2024-01-03,Delhi,198093,86912571.7,117344,60916120.19,55494,19244321.26,2.49
2024-01-03,Bangalore,188918,77882977.38,109920,60893358.19,48777,20639002.24,1.08
2024-01-03,Chennai,200481,87030199.68,113606,67475191.58,51626,20408698.89,1.52
2024-01-03,Pune,178385,76854774.78,111811,55548839.51,54224,21353027.32,1.98
2024-01-03,Hyderabad,220549,86690394.57,135779,64246888.53,59363,20586309.73,2.7
2024-01-03,Ahmedabad,203142,78021538.33,116900,60369104.67,65813,20880001.4,2.15
2024-01-03,Kolkata,185410,87256577.12,116567,51887871.86,56975,21187206.07,0.75
2024-01-03,Jaipur,195037,82922152.41,103545,60195269.56,62068,20825803.89,2.81
2024-01-03,Surat,180860,82955088.33,118181,52279186.81,65665,20382194.12,1.46
2024-01-04,Mumbai,232478,77462825.08,105269,55163461.92,72919,17966803.11,0.77
2024-01-04,Delhi,142792,77400033.01,109838,56182345.75,61633,17101366.03,2.18
2024-01-04,Bangalore,219154,84325193.73,118771,58380905.27,62140,20385710.1,2.01
2024-01-04,Chennai,197857,77352175.97,122087,59321937.91,51557,15275813.73,1.52
2024-01-04,Pune,236648,78639874.91,131955,51625824.75,52058,17332519.22,2.03
2024-01-04,Hyderabad,236452,79808729.24,140709,61229968.53,56449,14219170.54,2.17
2024-01-04,Ahmedabad,189668,73587131.58,115640,60472372.91,76430,17451836.18,2.92
2024-01-04,Kolkata,193028,83395210.93,109890,60189068.84,66319,18591775.8,0.81
2024-01-04,Jaipur,210756,83144183.68,126263,62471259.81,60510,17947237.63,1.61
2024-01-04,Surat,218437,77654017.53,109682,59913353.73,52845,18535067.72,2.72
2024-01-05,Mumbai,216902,90184337.43,153350,60581404.63,62895,23231816.92,2.85
2024-01-05,Delhi,210765,81247138.44,136197,59071869.26,57522,22427676.12,0.9
2024-01-05,Bangalore,223836,76653530.7,118457,53875011.53,76289,22598139.52,2.84
2024-01-05,Chennai,223275,83448078.71,138293,61364282.13,53492,18699618.37,2.82
2024-01-05,Pune,222257,86352075.07,86384,57787231.37,52012,20364133.94,1.64
2024-01-05,Hyderabad,238887,69123788.93,126685,60686876.14,66724,20711587.78,1.89
2024-01-05,Ahmedabad,187950,81192059.97,123806,55991168.38,70440,19169794.19,1.86
2024-01-05,Kolkata,194278,74927354.32,101553,64451170.04,66589,18876316.41,2.95
2024-01-05,Jaipur,203314,87988005.47,144356,50922558.0,62196,13617529.88,1.01
2024-01-05,Surat,205255,82086093.72,125263,60715427.86,56708,19615675.39,2.57
2024-01-06,Mumbai,202278,76382101.57,126981,59310665.47,67712,19851837.12,1.25
2024-01-06,Delhi,211884,79621892.95,125794,54847852.29,71015,18984543.29,0.82
2024-01-06,Bangalore,236607,77494722.26,111030,59709238.4,60476,23870203.11,0.53
2024-01-06,Chennai,215306,81293069.46,123720,56532537.57,57880,20394293.1,0.56
2024-01-06,Pune,229904,79425340.56,124985,59029121.2,49875,22497380.48,1.79
2024-01-06,Hyderabad,248154,80275816.52,114305,60006426.64,57058,18436042.16,1.48
2024-01-06,Ahmedabad,197857,83425414.91,95726,60143423.93,62498,18092922.55,3.0
2024-01-06,Kolkata,196252,74915426.06,112612,61188900.86,55312,19125112.5,2.77
2024-01-06,Jaipur,165242,85383935.4,106089,59290133.61,65040,23013494.08,1.41
2024-01-06,Surat,207587,74356488.35,109868,64442390.46,58830,19239912.49,1.51
2024-01-07,Mumbai,190701,87187943.91,121467,65811550.04,61727,18559243.35,2.69
2024-01-07,Delhi,203040,76327690.11,106192,64169645.84,68895,22183160.74,2.25
2024-01-07,Bangalore,206783,76330023.44,119882,62744901.38,62173,21303935.87,1.28
2024-01-07,Chennai,199798,87709996.09,139724,56145201.69,60293,16346420.8,2.54
2024-01-07,Pune,202180,76527846.38,112397,58646813.21,71886,19951568.47,1.9
2024-01-07,Hyderabad,199815,73495617.78,123534,63123287.35,52908,22591603.99,0.97
2024-01-07,Ahmedabad,205506,72013065.27,125645,53207847.91,68514,21919257.2,0.91
2024-01-07,Kolkata,217043,86215182.13,101962,66530057.83,62003,23619219.78,2.85
2024-01-07,Jaipur,230113,84231281.43,130503,53821402.41,57995,17957037.2,0.58
2024-01-07,Surat,222768,78600366.91,137240,58652332.51,61340,24416272.29,1.09
2024-01-08,Mumbai,220562,88021655.86,97320,58922192.22,68656,19725289.86,2.59
2024-01-08,Delhi,197994,82242359.02,117537,60139931.74,59017,20967839.6,1.51
2024-01-08,Bangalore,202295,84954647.61,101651,61372692.11,67136,20106553.01,1.9
2024-01-08,Chennai,217643,71132823.89,122412,58402888.07,72380,20360743.75,0.57
2024-01-08,Pune,203379,88046017.75,126068,59935657.25,61531,17654843.81,1.3
2024-01-08,Hyderabad,253153,87287820.47,124576,57683386.57,70586,21390902.77,0.73
2024-01-08,Ahmedabad,220917,73763306.32,126777,57005883.73,58953,19188812.44,2.62
2024-01-08,Kolkata,214094,86593871.25,126632,63149936.75,63575,20144706.2,2.24
2024-01-08,Jaipur,170462,88973526.38,116300,62632354.32,57716,18699048.27,2.56
2024-01-08,Surat,180517,82805746.83,120998,66294447.55,42181,20530500.28,2.66
2024-01-09,Mumbai,188696,79103849.77,137092,56396223.18,51783,21214001.28,0.78
2024-01-09,Delhi,226854,86343293.73,136338,58762766.57,55082,23422236.49,0.98
2024-01-09,Bangalore,216030,83506084.29,137851,54384447.82,62186,22998072.32,1.95
2024-01-09,Chennai,204023,87642882.88,126094,70119075.55,57848,21039888.81,1.16
2024-01-09,Pune,204935,79447721.9,94069,56254565.34,57820,21591867.93,0.53
2024-01-09,Hyderabad,205467,68138535.32,122181,56463531.82,56836,22443976.01,1.38
2024-01-09,Ahmedabad,213131,79383244.53,119642,57917377.31,64437,19522312.83,0.74
2024-01-09,Kolkata,167271,72432031.16,117298,61646873.31,53048,20854832.87,2.88
2024-01-09,Jaipur,236179,86939746.16,91937,57155720.5,64229,17471650.16,2.89
2024-01-09,Surat,218326,78952512.68,102248,54244716.57,74712,19518136.95,2.3
2024-01-10,Mumbai,251873,69460608.7,132207,52500573.4,74585,21126758.95,2.29
2024-01-10,Delhi,216635,76852898.11,125256,58402369.33,39564,22398656.83,2.23
2024-01-10,Bangalore,222754,82362975.02,99521,57627035.1,79255,20864861.91,1.55
2024-01-10,Chennai,202766,85906689.55,148637,58583362.53,63268,16182402.53,0.55
