date,branch,gold_loan_amt,home_loan_amt,personal_loan_amt,fd_deposit_amt,casa_balance,npa_percent
2024-01-01,Mumbai,1599342.83,4930867.85,1297153.28,7913817.91,2929753.99,2.23
2024-01-01,Delhi,1453172.61,5139520.65,1351577.29,6651473.12,2842449.06,2.73
2024-01-01,Bangalore,1548392.45,4043359.88,941262.33,6662627.48,2696150.66,3.17
2024-01-01,Chennai,1562849.47,4648328.1,879056.9,6622315.02,3179316.14,4.06
2024-01-01,Pune,1391123.46,5055461.29,1027350.96,7225418.81,2819808.39,4.74
2024-01-01,Hyderabad,1441661.25,4489223.9,1175736.69,6679810.72,2998341.64,5.64
2024-01-01,Ahmedabad,1664508.98,4389578.18,1231329.54,5824197.93,2601544.19,5.88
2024-01-01,Kolkata,1539372.25,5109319.16,1332264.16,6394548.79,2525011.74,3.09
2024-01-01,Jaipur,1407872.25,5528561.11,1251542.74,5942175.91,3097225.19,2.3
2024-01-01,Surat,1422983.54,5291061.4,1333162.27,7536599.4,3226499.34,2.3
2024-01-02,Mumbai,1332822.57,4847816.51,1250314.36,7589119.74,2857675.85,3.24
2024-01-02,Delhi,1463599.64,5592653.1,1065801.44,7504627.69,3090512.9,3.89
2024-01-02,Bangalore,1573113.37,4679778.84,1254836.45,7926783.35,2990746.81,4.09
2024-01-02,Chennai,1813835.2,4803081.15,1191465.82,6151824.1,3314403.86,4.03
2024-01-02,Pune,1456793.66,5181145.56,1422394.95,6692382.39,2758830.65,5.72
2024-01-02,Hyderabad,1400348.42,5253349.53,1374414.86,7157847.26,3095901.05,2.75
2024-01-02,Ahmedabad,1520175.22,5487064.66,1095239.38,6806804.41,2883808.74,5.27
2024-01-02,Kolkata,1207900.66,3674248.18,1252453.61,6766071.47,2914715.57,3.35
2024-01-02,Jaipur,1468476.73,5204626.44,1483669.35,7108299.06,3078803.75,5.85
2024-01-02,Surat,1485853.37,4993219.96,949448.79,6359659.14,2703575.26,2.15
2024-01-03,Mumbai,1513558.09,6237852.68,1172317.0,7188109.33,2992576.06,5.94
2024-01-03,Delhi,1267530.66,5389032.07,1028558.64,6541333.13,3235174.2,4.91
2024-01-03,Bangalore,1782339.42,4303373.54,1289316.59,8322587.65,2705541.94,2.16
2024-01-03,Chennai,1388127.19,5859155.78,1332369.45,7012492.09,2893228.55,2.91
2024-01-03,Pune,1288826.8,5242033.01,1063148.45,7937890.6,2767789.04,5.7
2024-01-03,Hyderabad,1437023.28,4826449.11,1284701.69,7633942.68,3161092.38,4.22
2024-01-03,Ahmedabad,1179681.86,5097409.25,1240221.4,7476562.82,2631543.7,4.9
2024-01-03,Kolkata,1237144.59,5314129.24,1383943.18,7142908.73,3257474.65,2.04
2024-01-03,Jaipur,1560173.11,4647467.12,1481346.04,7291584.05,2645251.56,4.85
2024-01-03,Surat,1632942.03,4629034.7,1031466.23,7469448.4,3383897.37,5.4
2024-01-04,Mumbai,1666908.65,5957319.09,1164936.57,6557579.94,2737245.39,5.89
2024-01-04,Delhi,1338843.2,5447495.78,1165806.92,7737217.63,3166130.08,4.01
2024-01-04,Bangalore,1449239.24,6369624.71,1295790.88,6495434.02,2682750.35,5.76
2024-01-04,Chennai,1598889.22,4945340.71,1313017.7,6738615.44,3237964.61,3.54
2024-01-04,Pune,1412813.06,5436341.7,1233962.23,6261935.57,3056532.21,4.28
